exchange,trade_date,is_open,previous_trade_date,source
SSE,19991027,1,19991026,sina_finance
SSE,19991028,1,19991027,sina_finance
SSE,19991029,1,19991028,sina_finance
SSE,19991101,1,19991029,sina_finance
SSE,19991102,1,19991101,sina_finance
SSE,19991103,1,19991102,sina_finance
SSE,19991104,1,19991103,sina_finance
SSE,19991105,1,19991104,sina_finance
SSE,19991108,1,19991105,sina_finance
SSE,19991109,1,19991108,sina_finance
SSE,19991110,1,19991109,sina_finance
SSE,19991111,1,19991110,sina_finance
SSE,19991112,1,19991111,sina_finance
SSE,19991115,1,19991112,sina_finance
SSE,19991116,1,19991115,sina_finance
SSE,19991117,1,19991116,sina_finance
SSE,19991118,1,19991117,sina_finance
SSE,19991119,1,19991118,sina_finance
SSE,19991122,1,19991119,sina_finance
SSE,19991123,1,19991122,sina_finance
SSE,19991124,1,19991123,sina_finance
SSE,19991125,1,19991124,sina_finance
SSE,19991126,1,19991125,sina_finance
SSE,19991129,1,19991126,sina_finance
SSE,19991130,1,19991129,sina_finance
SSE,19991201,1,19991130,sina_finance
SSE,19991202,1,19991201,sina_finance
SSE,19991203,1,19991202,sina_finance
SSE,19991206,1,19991203,sina_finance
SSE,19991207,1,19991206,sina_finance
SSE,19991208,1,19991207,sina_finance
SSE,19991209,1,19991208,sina_finance
SSE,19991210,1,19991209,sina_finance
SSE,19991213,1,19991210,sina_finance
SSE,19991214,1,19991213,sina_finance
SSE,19991215,1,19991214,sina_finance
SSE,19991216,1,19991215,sina_finance
SSE,19991217,1,19991216,sina_finance
SSE,19991221,1,19991217,sina_finance
SSE,19991222,1,19991221,sina_finance
SSE,19991223,1,19991222,sina_finance
SSE,19991224,1,19991223,sina_finance
SSE,19991227,1,19991224,sina_finance
SSE,19991228,1,19991227,sina_finance
SSE,19991229,1,19991228,sina_finance
SSE,19991230,1,19991229,sina_finance
SSE,20000104,1,19991230,sina_finance
SSE,20000105,1,20000104,sina_finance
SSE,20000106,1,20000105,sina_finance
SSE,20000107,1,20000106,sina_finance
SSE,20000110,1,20000107,sina_finance
SSE,20000111,1,20000110,sina_finance
SSE,20000112,1,20000111,sina_finance
SSE,20000113,1,20000112,sina_finance
SSE,20000114,1,20000113,sina_finance
SSE,20000117,1,20000114,sina_finance
SSE,20000118,1,20000117,sina_finance
SSE,20000119,1,20000118,sina_finance
SSE,20000120,1,20000119,sina_finance
SSE,20000121,1,20000120,sina_finance
SSE,20000124,1,20000121,sina_finance
SSE,20000125,1,20000124,sina_finance
SSE,20000126,1,20000125,sina_finance
SSE,20000127,1,20000126,sina_finance
SSE,20000128,1,20000127,sina_finance
SSE,20000214,1,20000128,sina_finance
SSE,20000215,1,20000214,sina_finance
SSE,20000216,1,20000215,sina_finance
SSE,20000217,1,20000216,sina_finance
SSE,20000218,1,20000217,sina_finance
SSE,20000221,1,20000218,sina_finance
SSE,20000222,1,20000221,sina_finance
SSE,20000223,1,20000222,sina_finance
SSE,20000224,1,20000223,sina_finance
SSE,20000225,1,20000224,sina_finance
SSE,20000228,1,20000225,sina_finance
